陈小强(00:00:01): 小梁主持，小梁主持，小梁主持，

程志斌-永和资本(00:00:02): 我觉得还是什么，

陈小强(00:00:02): 小梁主持。

程志斌-永和资本(00:00:04): 还是梁总主持，因为融资节奏，

陈小强(00:00:05): 对，两两种组织量，

程志斌-永和资本(00:00:06): 包括规划什么的？

陈小强(00:00:07): 对，我梁总讲之前我先来说一下，这样的，因为梁总小梁他是8月15号就过来了嘛，我是这样的，我在想嘛，在他来之前我们最好能把融资意向性的能敲定，

程志斌-永和资本(00:00:29): 当你是这边我吃海鲜来。

陈小强(00:00:30): 不一定说这个钱到账肯定是要有时间的，能敲定下来，有敲定性的，确定性比较强的。对，这是一，第二个，我觉得是这样的，第二个事情，因为梁，梁总过来，因为我会跟他谈几个，几个事情，第一个股份结构的事情，

陈小强(00:00:51): 我肯定要跟小梁要明确，对，因为之前我们之前已经谈过，大概谈过了，我觉得这个事情我跟梁先面谈一下，梁总先面谈一下，小梁先面谈一下，对，我要跟他谈一下，然后还有一个过来的一些细节性的东西，我会跟他谈，在会上我跟大家讲一下，这两个，然后第三个，这里面还有一个重要的事情，我也跟小梁讲了，能源结构的事情，

陈小强(00:01:16): 我们要算人力成本，开销，开支，资金，怎么使用，这都是比较细节性的事情，反正他来这些东西我会都跟他明确好。

Gavin(00:01:28): 对，到时候要做预算，

陈小强(00:01:31): 对，

Gavin(00:01:31): 毕竟有很多东西都是要做一些花销的，

陈小强(00:01:32): 肯定要做预算的，对我们现在。

Gavin(00:01:36): 这个肯定合规要提前做好，在 bp 里面写了，是要融资到位了之后，肯定还是要去做一些合规的准备的。

陈小强(00:01:49): 然后跟大家讲一个事情，反正西格玛的后面跟大家利益都息息相关的，因为涉及到我们平台。我在群里面也讲一下，是这样的，目前来说，我觉得在这里面讲也不要也没问题，反正都自己兄弟，正好老朱也在老朱，因为8月8号我们不是要开月度会议嘛，这样的，现在目前来说，利润基本上比较接近真实的状况了，

陈小强(00:02:18): 现在西格玛的利润，大概 sigma 的正式运营是从10月份开始正式运营，

程志斌-永和资本(00:02:22): 好。

陈小强(00:02:24): 10月份11月份正式运营嘛，差不多现在。账面利润？对。差不多应该能做到60万美金的。

朱学峰(00:02:38): 就截止到7月30号。

